Run: 0
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.063278, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 191 
alpha_j: 0.013761, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.011721, p_j: 0.854388, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 117 
alpha_j: 0.009747, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.008264, p_j: 0.061479, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 181 
alpha_j: 0.007149, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 173 
alpha_j: 0.006290, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 35 
alpha_j: 0.060461, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 121 
alpha_j: 0.013148, p_j: 0.010713, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.064140, p_j: 0.005587, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.069139, p_j: 0.209248, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015036, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012806, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.010650, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.009029, p_j: 0.009057, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.007811, p_j: 0.010307, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.006872, p_j: 0.110088, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.006130, p_j: 0.554947, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.005531, p_j: 0.015609, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 67 
alpha_j: 0.005036, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.004622, p_j: 0.104615, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.004270, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 165 
alpha_j: 0.003967, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.003704, p_j: 0.287290, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 143 
alpha_j: 0.003474, p_j: 0.000522, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.059649, p_j: 0.029170, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.065274, p_j: 0.169717, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 39 
alpha_j: 0.014195, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 137 
alpha_j: 0.012090, p_j: 0.009584, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.066451, p_j: 0.138334, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.014451, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.012308, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.067397, p_j: 0.110467, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.014657, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 197 
alpha_j: 0.012483, p_j: 0.006050, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.068159, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.014822, p_j: 0.021806, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.012625, p_j: 0.015285, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.010499, p_j: 0.341609, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 47 
alpha_j: 0.008901, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.066067, p_j: 0.358659, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.014367, p_j: 0.429112, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012237, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.010177, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008628, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.007464, p_j: 0.456525, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 67 
alpha_j: 0.006567, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.005858, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.005285, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.004812, p_j: 0.002902, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.060287, p_j: 0.018253, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.065823, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.014314, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.012192, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010139, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.008596, p_j: 0.102246, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 193 
alpha_j: 0.007436, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 193 
alpha_j: 0.006543, p_j: 0.005459, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 43 
alpha_j: 0.062332, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013555, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 161 
alpha_j: 0.011545, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009601, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 195 
alpha_j: 0.008140, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.061611, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.066962, p_j: 0.000001, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 175 
alpha_j: 0.071568, p_j: 0.000626, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.075532, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.016426, p_j: 0.006346, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 31 
alpha_j: 0.076653, p_j: 0.000002, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.079908, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.017377, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.080286, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.017460, p_j: 0.000056, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.080601, p_j: 0.000047, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 87 
alpha_j: 0.083305, p_j: 0.078870, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 85 
alpha_j: 0.085632, p_j: 0.052531, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 71 
alpha_j: 0.087635, p_j: 0.000114, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 107 
alpha_j: 0.089359, p_j: 0.079911, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.090843, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.019755, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.016826, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.013993, p_j: 0.223494, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.011863, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.010263, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009030, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008055, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.007267, p_j: 0.343633, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006617, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006073, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.005610, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 159 
alpha_j: 0.005213, p_j: 0.003717, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.075311, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.016378, p_j: 0.025776, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.013949, p_j: 0.000008, rej: 1 
The hyp is : 1
true best: 4, found best: 4, queries: 125 
alpha_j: 0.074525, p_j: 0.027437, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.078077, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 97 
alpha_j: 0.016979, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.014462, p_j: 0.020321, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012027, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010196, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 59 
alpha_j: 0.008820, p_j: 0.003812, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.072422, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.015750, p_j: 0.043446, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013414, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.011156, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009458, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.008182, p_j: 0.002930, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.068187, p_j: 0.368124, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.014828, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012630, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 61 
alpha_j: 0.010503, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008905, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 129 
alpha_j: 0.007703, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 183 
alpha_j: 0.006778, p_j: 0.005677, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.064069, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 169 
alpha_j: 0.013933, p_j: 0.009372, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.067136, p_j: 0.000036, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.071718, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015596, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013284, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.011047, p_j: 0.006383, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.070094, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015243, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012983, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010797, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 189 
alpha_j: 0.009154, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.007919, p_j: 0.032164, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006967, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.006215, p_j: 0.174827, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.005607, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.063824, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.013880, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.066932, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.014556, p_j: 0.000084, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.069513, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 87 
alpha_j: 0.015117, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 85 
alpha_j: 0.071656, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 105 
alpha_j: 0.015583, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.013272, p_j: 0.000056, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.071584, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.015567, p_j: 0.102145, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 95 
alpha_j: 0.013259, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.011027, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009348, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008087, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.007115, p_j: 0.114627, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006347, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.005726, p_j: 0.000115, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.064884, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.014110, p_j: 0.037279, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.012018, p_j: 0.387205, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.009995, p_j: 0.118549, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008473, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.007330, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 111 
alpha_j: 0.006449, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.005753, p_j: 0.006621, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.005190, p_j: 0.016560, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.004726, p_j: 0.000029, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 127 
alpha_j: 0.059457, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.065109, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.014159, p_j: 0.000120, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 105 
alpha_j: 0.067999, p_j: 0.000034, rej: 1 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.072461, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.015758, p_j: 0.001244, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.074103, p_j: 0.359588, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.016115, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.013726, p_j: 0.003147, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.073553, p_j: 0.000096, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.077240, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.016797, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 137 
alpha_j: 0.014307, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.011898, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 1, queries: 200 
alpha_j: 0.010087, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.008726, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.007677, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.006849, p_j: 0.022377, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006179, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.005626, p_j: 0.130718, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.005164, p_j: 0.000078, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.067405, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.014658, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012485, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.010383, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 191 
alpha_j: 0.008803, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.007615, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.006700, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 129 
alpha_j: 0.063495, p_j: 0.002774, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.068584, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 177 
alpha_j: 0.014915, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.012703, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 1, queries: 200 
alpha_j: 0.010565, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008957, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.007748, p_j: 0.588200, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.006817, p_j: 0.000001, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 123 
alpha_j: 0.064361, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.013997, p_j: 0.131142, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.011921, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 145 
alpha_j: 0.009914, p_j: 0.005079, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.064334, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.069307, p_j: 0.106729, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015072, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.012837, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 71 
alpha_j: 0.069695, p_j: 0.012210, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.073920, p_j: 0.004136, rej: 1 
The hyp is : 1
true best: 4, found best: 4, queries: 97 
alpha_j: 0.077555, p_j: 0.019876, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 83 
alpha_j: 0.080684, p_j: 0.065353, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 103 
alpha_j: 0.083377, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 87 
alpha_j: 0.018132, p_j: 0.000912, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.083167, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.018086, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 93 
alpha_j: 0.015404, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012811, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.010861, p_j: 0.311885, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 73 
alpha_j: 0.009396, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.076235, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.016579, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 109 
alpha_j: 0.077237, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.016797, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.014306, p_j: 0.006585, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.076074, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.016544, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.077103, p_j: 0.002965, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.080295, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 141 
alpha_j: 0.083042, p_j: 0.005158, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.085406, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 47 
alpha_j: 0.087441, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 137 
alpha_j: 0.019016, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
